weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97632
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97634
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97640
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97647
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97660
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97665
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97667
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97669
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97673
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97682
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4,45 CAL,2.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,0,true,NONE,05-10FT,PERSON,OTHER (SPECIFY),97693
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97698
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97716
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97735
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97744
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97756
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97773
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97797
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97820
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97830
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97831
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97843
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97867
Chemical Weapon,,,,,,,,,,,,,,,,,97873
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97874
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97891
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97909
Other (Specify),,,,,,0.0,False,0.0,RIGHT SIDE (WAIST),OTHER (SPECIFY),NONE,false,NONE,0-5FT,NONE,STANDING,97918
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97929
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97967
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97976
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97979
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97988
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97990
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,97995
Taser (Probe Discharge),,,,,,,,,,,,,,,,,97995
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98020
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98022
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98026
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98039
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98042
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,98043
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98045
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98051
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4INCH, 9 MM,1.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,OVER 15FT,OBJECT,STANDING,98052
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98061
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98062
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98074
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98109
Chemical Weapon,,,,,,,,,,,,,,,,,98110
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.49, 9 MM,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98111
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98117
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98136
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98157
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98169
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98205
Semi-Auto Pistol,"GLOCK, INC.--AU--",,22,4, 9 MM,2.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98208
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98217
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98243
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98245
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98256
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98267
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98268
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98272
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98273
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,9.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98278
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4, 9 MM,3.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,PERSON,STANDING,98279
Semi-Auto Pistol,"GLOCK, INC.--AU--",,22,4.48,40 S&W,9.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98280
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98288
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98295
Semi-Auto Pistol,"GLOCK, INC.--AU--",,27,3.5,40 S&W,4.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,98310
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98316
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98320
Taser (Probe Discharge),,,,,,,,,,,,,,,,,98325
